name,sic,cityba,afs,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockValue,IncomeTaxExpenseBenefit,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,StockholdersEquity
"apogee enterprises, inc.",3231,minneapolis,2,990703000.0,332132000.0,36469000.0,,0.33,8535000.0,3672000.0,,990703000.0,188205000.0,-14257000.0,-4148000.0,6883000.0,10817000.0,16042000.0,292296000.0,352130000.0,497551000.0
mccormick & co inc,2090,hunt valley,1,12810500000.0,2052600000.0,291800000.0,-131800000.0,0.01,,45400000.0,8469700000.0,12810500000.0,2381200000.0,377900000.0,-753600000.0,228700000.0,183700000.0,237400000.0,1112800000.0,2660500000.0,4325300000.0
micron technology inc,3674,boise,1,55943000000.0,18561000000.0,7759000000.0,136000000.0,0.1,120000000.0,65000000.0,13684000000.0,55943000000.0,5462000000.0,-437000000.0,-8055000000.0,8584000000.0,3141000000.0,3328000000.0,,36452000000.0,42259000000.0
american rebel holdings inc,3089,nashville,4,1104225.0,1100572.0,29194.0,,0.001,77127.0,0.0,6788811.0,1104225.0,6468421.0,197032.0,0.0,-228737.0,-927615.0,-379363.0,3653.0,-21798328.0,-5684586.0
mexus gold us,1040,carson city,4,1131420.0,8081.0,8081.0,,0.001,177714.0,0.0,2632722.0,1131420.0,2632722.0,792783.0,-49000.0,,-3332130.0,,293392.0,-35677798.0,-1501302.0
hpx corp.,6770,wilmington,4,254403408.0,1391197.0,1132050.0,1132050.0,,,0.0,30238877.0,254403408.0,294177.0,254571552.0,-253000000.0,-439502.0,-8683738.0,-314723.0,,-8683738.0,5000006.0
pine island acquisition corp.,6770,fort lauderdale,4,219682119.0,1279559.0,403875.0,,,,0.0,29065015.0,219682119.0,246195.0,219775994.0,-218388000.0,-984119.0,-3275148.0,-249470.0,,-3275148.0,5000004.0
pine island acquisition corp.,6770,fort lauderdale,4,219484984.0,1049999.0,300767.0,,,,,24690646.0,219484984.0,336146.0,-27880.0,,-75228.0,4177234.0,-319511.0,,1836024.0,5000008.0
"sanuwave health, inc.",3841,suwanee,4,32866106.0,9954632.0,5391591.0,3631136.0,0.001,466095.0,,41965064.0,32866106.0,30821589.0,33449131.0,-20039142.0,-9779889.0,-12638637.0,-5768768.0,979673.0,-145025761.0,-9098958.0
acuity brands inc,3640,atlanta,1,3560300000.0,1538500000.0,593500000.0,32800000.0,0.01,500000.0,23500000.0,1521200000.0,3560300000.0,671400000.0,-260300000.0,-31400000.0,316200000.0,85700000.0,118100000.0,259700000.0,2717000000.0,2039100000.0
roivant sciences ltd.,2834,hamilton hm11,4,2589692000.0,1699907.0,2055044000.0,,0.0,0.0,1686000.0,44716022.0,412490902.0,4203154.0,456264000.0,-31702000.0,-552138000.0,19019100.0,-1070898000.0,14749000.0,4998504.0,5000010.0
beauty health co,3841,long beach,4,463533143.0,3348743.0,2753154.0,,,,0.0,68406802.0,463533143.0,813471.0,,,-511921.0,13637202.0,-602319.0,,-68016288.0,-64911288.0
alpha healthcare acquisition corp.,2836,new york,4,100667493.0,637641.0,513059.0,-581702.0,,252.0,,17257243.0,100667493.0,135647.0,-87964.0,-100000000.0,-493738.0,-9435532.0,-493818.0,,-8015887.0,5000010.0
tech & energy transition corp,6770,new york,4,389285012.0,3729734.0,3149760.0,,,344.0,,33652199.0,389285012.0,2199199.0,387311379.0,-385000632.0,839013.0,2674800.0,,,2672006.0,5000001.0
"optileaf, inc.",7372,wichita,4,32129.0,32129.0,20494.0,9204.0,,821000.0,,84996.0,32129.0,39996.0,25000.0,,-15796.0,-17429.0,-21458.0,,-873867.0,-52867.0
byrna technologies inc.,3690,andover,4,22033000.0,14428000.0,,-4311000.0,0.001,20000.0,183000.0,8883000.0,22033000.0,7978000.0,2669000.0,-3855000.0,-2864000.0,2037000.0,1612000.0,1187000.0,-48450000.0,13150000.0
ellington financial inc.,6500,greenwich,2,,,,,,,,,,,,,,,,,,
bassett furniture industries inc,2511,bassett,2,418479000.0,176471000.0,45776000.0,-23000.0,,49262000.0,3746000.0,,418479000.0,130449000.0,-8351000.0,-3722000.0,12050000.0,9985000.0,8379000.0,92581000.0,112325000.0,160262000.0
prevention insurance com inc,6411,melbourne,4,14188.0,14088.0,14088.0,,0.0001,764.0,,78385.0,14188.0,78385.0,29959.0,,-15871.0,-13798.0,-13798.0,,-5062776.0,-64197.0
"hawkeye systems, inc.",3861,savannah,4,1491807.0,1491672.0,51256.0,,0.0001,1584.0,,1380614.0,1491807.0,1380614.0,67500.0,0.0,-927991.0,-2345147.0,-371438.0,135.0,-6854988.0,111193.0
"hawkeye systems, inc.",3861,savannah,4,1636122.0,1636122.0,250410.0,,0.0001,1706.0,,1291715.0,1636122.0,1291715.0,337500.0,0.0,-998837.0,-2701848.0,-319197.0,0.0,-7211689.0,344407.0
"hawkeye systems, inc.",3861,savannah,4,1476324.0,1475587.0,911747.0,,0.0001,1483.0,0.0,1317257.0,1476324.0,1317257.0,1117000.0,-158000.0,-65625.0,-2600468.0,-1190118.0,737.0,-4509841.0,159067.0
"wellness center usa, inc.",2834,hoffman estates,4,287650.0,287650.0,146139.0,94819.0,0.001,121027.0,,3137992.0,287650.0,3100826.0,660000.0,,-565181.0,-393875.0,-667660.0,,-27977238.0,-2700356.0
endexx corp,7389,cave creek,4,2332478.0,1598687.0,,72358.0,0.0001,45741.0,,12698534.0,2332478.0,12285281.0,2118984.0,,-2046626.0,-2503473.0,-907276.0,459861.0,-35209163.0,-10366056.0
nutra pharma corp,2833,coral springs,4,339832.0,57806.0,,,0.001,5876746.0,,12040867.0,339832.0,10989633.0,743659.0,,-743659.0,-6591442.0,-1229893.0,6763.0,-67864284.0,-11701035.0
force protection video equipment corp.,5990,cary,4,12116000.0,5895000.0,4850000.0,4849000.0,0.0,1000.0,,1404000.0,12116000.0,,5082000.0,955000.0,-1188000.0,-1521000.0,-1521000.0,1000.0,-43867000.0,10712000.0
lindsay corp,3523,omaha,1,642217000.0,417725000.0,120801000.0,-602000.0,1.0,18991000.0,5829000.0,306044000.0,642217000.0,144156000.0,-8084000.0,-24967000.0,30660000.0,36768000.0,21341000.0,92517000.0,525926000.0,336173000.0
"walgreens boots alliance, inc.",5912,deerfield,1,91920000000.0,26607000000.0,1345000000.0,1058000000.0,0.01,12000000.0,246000000.0,69014000000.0,91920000000.0,34475000000.0,-1856000000.0,-1341000000.0,4310000000.0,1915000000.0,1432000000.0,,34908000000.0,22101000000.0
global blue group holding ag,7374,bruttisellen,4,,,,,,,,,,,,,,,,,,
global blue group holding ag,7374,bruttisellen,4,,,,,,,,,,,,,,,,,,
eventiko inc.,7990,beijing,4,20808.0,20808.0,20808.0,,0.0001,419.0,0.0,,20808.0,8524.0,30901.0,,-10093.0,-10643.0,-10643.0,,-11866.0,12284.0
yijia group corp.,5130,"shenzhen, guangdong",4,0.0,0.0,0.0,,0.001,5871.0,0.0,174670.0,0.0,174670.0,42286.0,0.0,-42286.0,-52094.0,-52094.0,,-239365.0,-174670.0
factset research systems inc,7370,norwalk,1,2218445000.0,920054000.0,658340000.0,72735000.0,0.01,410000.0,50646000.0,1187146000.0,2218445000.0,280935000.0,-214758000.0,-88404000.0,370249000.0,100679000.0,354865000.0,135850000.0,842298000.0,1031299000.0
mountain crest acquisition corp. iii,6770,new york,4,93000.0,,25000.0,25000.0,0.0001,144.0,,69000.0,93000.0,69000.0,25000.0,,,-1000.0,,,-1000.0,24000.0
trebia acquisition corp.,6770,new york,4,517988612.0,488612.0,319237.0,-524406.0,,,0.0,61263070.0,517988612.0,1765401.0,104813.0,,-524406.0,20557534.0,-1717172.0,,-61622790.0,-60774458.0
aries i acquisition corp.,6770,grand cayman,4,291331.0,,0.0,0.0,,,,278742.0,291331.0,,324.0,,-324.0,-12411.0,,,-12411.0,12589.0
graf acquisition corp. iv,6770,the woodlands,4,279527.0,,0.0,0.0,0.0001,431.0,,,279527.0,290201.0,,,0.0,-35674.0,,,-35674.0,-10674.0
quantum-si inc,3829,guilford,4,115759069.0,29985000.0,26654000.0,-443033.0,,166.0,0.0,7300000.0,33062000.0,1605439.0,980000.0,-500000.0,-443033.0,-10405903.0,-1887583.0,2339000.0,-13992293.0,-170048000.0
americas carmart inc,5500,rogers,2,822159000.0,,2893000.0,-56667000.0,0.01,136000.0,30302000.0,415263000.0,822159000.0,,5403000.0,-8258000.0,-53812000.0,,,34719000.0,564975000.0,406396000.0
primavera capital acquisition corp.,6770,hong kong,4,415230720.0,1226295.0,867295.0,,,767.0,0.0,40572511.0,415230720.0,575618.0,415707228.0,-414000000.0,-840033.0,18430219.0,-685200.0,,4998331.0,5000009.0
dynamics special purpose corp.,6770,redwood city,4,373657.0,,0.0,,,,,349835.0,373657.0,,,,0.0,-1178.0,,,-1178.0,23822.0
jabil inc,3672,st petersburg,1,15740708000.0,10259514000.0,1240729000.0,-152828000.0,0.001,267000.0,183861000.0,13601748000.0,15740708000.0,9846996000.0,-177141000.0,-644232000.0,670860000.0,169480000.0,790074000.0,3812159000.0,2525323000.0,2138011000.0
"talkspace, inc.",8000,new york,4,34919000.0,20118000.0,9772000.0,,0.001,12000.0,8000.0,62868208.0,414804060.0,1601608.0,722000.0,-319000.0,-801083.0,10361129.0,-728422.0,472000.0,-121526000.0,-109201000.0
"indie semiconductor, inc.",3674,aliso viejo,4,349760550.0,168791.0,75728.0,,,,,71660407.0,349760550.0,59585407.0,637407.0,,-695374.0,38507524.0,-1067923.0,,-71492479.0,-71491616.0
cohn robbins holdings corp.,6770,wilmington,4,829430143.0,1195379.0,643949.0,,,,,102967019.0,829430143.0,,829368865.0,-828000000.0,-724916.0,-48062630.0,-481239.0,,-48062630.0,5000004.0
cohn robbins holdings corp.,6770,wilmington,4,829276548.0,889623.0,394594.0,,,,,81161114.0,829276548.0,,,,-249355.0,21652310.0,-1265717.0,,-26410320.0,5000004.0
lightjump acquisition corp,6770,menlo park,4,138885696.0,882776.0,522190.0,,0.0001,428.0,,2936209.0,138885696.0,376324.0,139140571.0,-138000000.0,-624520.0,1053979.0,-250793.0,,1040177.0,5000007.0
viveon health acquisition corp.,6770,norcross,4,207020311.0,3757651.0,3096956.0,,0.0001,707.0,,19364847.0,207020311.0,1557736.0,205717152.0,-203262500.0,642304.0,-1814153.0,-26032.0,,-1814153.0,5000008.0
viveon health acquisition corp.,6770,norcross,4,205229633.0,1961961.0,1447788.0,,0.0001,672.0,,14018585.0,205229633.0,109147.0,-593638.0,,-1055530.0,3581333.0,-321433.0,,1767180.0,5000004.0
ucommune international ltd,7389,new york,4,603543000.0,117565000.0,53343000.0,31340000.0,,7000.0,439000.0,268583000.0,603543000.0,174511000.0,44379000.0,-6017000.0,-4235000.0,-77846000.0,-75816000.0,53790000.0,-343326000.0,306561000.0
e.merge technology acquisition corp.,6770,burlingame,4,601312281.0,1192972.0,949852.0,949852.0,,693.0,7231.0,53622608.0,601312281.0,242608.0,601545456.0,-600000000.0,-595604.0,-8519343.0,-587861.0,,-8519343.0,5000003.0
"dpcm capital, inc.",6770,miami,4,301439819.0,1321450.0,924586.0,,,375.0,,33979406.0,301439819.0,,,,-159971.0,15398020.0,-781872.0,,-12008267.0,5000003.0
as-ip tech inc,3728,new york,4,69634.0,66201.0,66201.0,,0.0001,21893.0,,2222291.0,69634.0,2222291.0,167391.0,0.0,-110148.0,-310161.0,-268299.0,,-13134451.0,-2152657.0
"petrogress, inc",4412,piraeus,4,11257077.0,5654013.0,218159.0,-57875.0,0.001,35153.0,,4842978.0,11257077.0,4154198.0,16053.0,-983215.0,909287.0,-146185.0,-129091.0,3689997.0,-4421887.0,6414099.0
"phillips edison & company, inc.",6798,cincinnati,4,4566601000.0,,20258000.0,-69684000.0,0.01,2807000.0,,2557195000.0,4566601000.0,,-123125000.0,4690000.0,48751000.0,103000.0,,,-1023155000.0,1684848000.0
"pacific ventures group, inc.",2080,los angeles,4,8193945.0,2789011.0,58234.0,-257724.0,0.498,8415444.0,,18706866.0,8193945.0,7378012.0,2255943.0,-186519.0,-2327148.0,-5861821.0,-3677646.0,1169441.0,-16063780.0,-10512919.0
adit edtech acquisition corp.,6770,new york,4,277268770.0,1022107.0,,693993.0,0.0001,826.0,,9840336.0,277268770.0,180336.0,277113914.0,-276000000.0,-419921.0,-49954.0,-90213.0,,-50480.0,5000004.0
skydeck acquisition corp.,6770,providence,4,355973.0,,0.0,,,,,,355973.0,343561.0,,,0.0,-12588.0,,,-12588.0,12412.0
"ennis, inc.",2761,midlothian,2,370679000.0,154734000.0,81329000.0,6139000.0,2.5,75134000.0,3130000.0,67227000.0,370679000.0,38734000.0,-5866000.0,118000.0,11887000.0,7304000.0,10548000.0,53482000.0,195874000.0,303452000.0
four seasons education (cayman) inc.,8200,shanghai,4,149420000.0,79846000.0,58452000.0,-8209000.0,0.0001,2000.0,735000.0,49561000.0,149420000.0,35067000.0,30000.0,-10506000.0,4808000.0,-4355000.0,-5635000.0,2442000.0,-21364000.0,90945000.0
breeze holdings acquisition corp.,6770,irving,4,117349970.0,597302.0,,-347966.0,0.0001,471.0,,11722774.0,117349970.0,213774.0,,,-347966.0,5776318.0,-220348.0,,4999535.0,5000006.0
lennar corp /new/,1520,miami,1,31223227000.0,,2737580000.0,-149785000.0,,,260113000.0,11521129000.0,31223227000.0,,-817833000.0,-50072000.0,718120000.0,1832732000.0,2651954000.0,,12241400000.0,19576108000.0
"lingerie fighting championships, inc.",3640,las vegas,4,,163238.0,163238.0,,0.001,2643833.0,,,163238.0,13122858.0,257500.0,0.0,-98404.0,-7547040.0,-73736.0,,-15744628.0,-12959620.0
petrogas co,1311,houston,4,0.0,0.0,0.0,,0.001,3874.0,,535233.0,0.0,408970.0,28634.0,0.0,-28634.0,-116541.0,-26713.0,,-2007695.0,-535233.0
"tyson foods, inc.",2015,springdale,1,,,,,,,,,,,,,,,,,,
alkaline water co inc,5140,scottsdale,4,24550609.0,23271259.0,,,0.001,87464.0,,13536623.0,24550609.0,13244041.0,19434905.0,-585393.0,-14280238.0,-16409520.0,-15833907.0,1010183.0,-69931220.0,11013986.0
greenpower motor co inc.,3713,vancouver,2,39619355.0,,,,,,,3466907.0,,,,,,,,,,
hoops scouting usa,7374,palm desert,4,148.0,,148.0,,0.0001,50.0,0.0,28205.0,148.0,,,,-154.0,-8976.0,,,-28107.0,-28057.0
united states basketball league inc,6794,milford,4,75.0,,75.0,-226.0,0.01,35525.0,,2435916.0,75.0,2435916.0,1000.0,0.0,-1226.0,-26497.0,-26497.0,,-5119824.0,-2435841.0
oceantech acquisitions i corp.,6770,new york,4,262652.0,,4208.0,4208.0,,,,243456.0,262652.0,,4208.0,,0.0,-5804.0,,,-5804.0,19196.0
hpx corp.,6770,wilmington,4,254301639.0,1283189.0,1011296.0,-120754.0,,,0.0,25185895.0,254301639.0,365795.0,,5000.0,-120754.0,4951213.0,-179653.0,,-3732525.0,5000002.0
"john wiley & sons, inc.",2731,hoboken,1,3446439000.0,526297000.0,93795000.0,-108688000.0,,,27656000.0,2355148000.0,3446439000.0,988972000.0,-47086000.0,-433154000.0,359923000.0,148256000.0,185511000.0,282270000.0,1850058000.0,1091291000.0
longview acquisition corp. ii,6770,new york,4,691385346.0,1385295.0,,,,,0.0,66067580.0,691385346.0,64400.0,691391062.0,-690000000.0,-645317.0,-11644456.0,-61198.0,,-64678509.0,-64676784.0
lefteris acquisition corp.,6770,boston,4,208704876.0,1576348.0,,,,,0.0,31878480.0,208704876.0,739640.0,208782951.0,-207098940.0,-666442.0,-12874353.0,-770470.0,,-12874353.0,5000006.0
genesis park acquisition corp.,3760,houston,4,167604804.0,1332732.0,1186528.0,,,,,42030071.0,167604804.0,193815.0,167625411.0,-166232863.0,-108852.0,260149.0,-213974.0,,-12001400.0,5000010.0
reinvent technology partners,3721,new york,4,691320350.0,1299137.0,873032.0,,,,,83089135.0,691320350.0,580484.0,692860173.0,230000.0,-1051647.0,40606478.0,-1104601.0,,-23296107.0,5000005.0
bctg acquisition corp.,2834,san diego,4,168260672.0,1451284.0,1258456.0,,0.0001,566.0,525.0,6138214.0,168260672.0,301964.0,168391508.0,-166750000.0,-55629.0,-239754.0,-265895.0,,-362800.0,5000008.0
lion group holding ltd,6211,hong kong,4,22906069.0,16614229.0,3426467.0,-3787082.0,,963.0,1316.0,13604191.0,22906069.0,12788185.0,2640316.0,-6549514.0,105675.0,-2575459.0,-3351409.0,34919.0,-2952362.0,9301878.0
byrna technologies inc.,3690,andover,4,22033000.0,14428000.0,,-4311000.0,0.001,20000.0,183000.0,8883000.0,22033000.0,7978000.0,2669000.0,-3855000.0,-2864000.0,2037000.0,1612000.0,1187000.0,-48450000.0,13150000.0
gb sciences inc,1311,las vegas,4,10806054.0,3543855.0,793040.0,993867.0,0.0001,31534.0,,12279982.0,10806054.0,8598448.0,-1476432.0,4655519.0,-2185220.0,-3725027.0,-2001617.0,25022.0,-103886232.0,-1473928.0
all for one media corp.,7900,mt. kisco,4,16276.0,16276.0,8276.0,,0.001,2195416.0,0.0,,16276.0,71126553.0,261284.0,-179100.0,-176944.0,-62250542.0,-321015.0,,-77967111.0,-71110277.0
"ms young adventure enterprise, inc.",8742,"luohu, shenzhen",4,,,,-11899.0,0.0001,673.0,,,,6890.0,-11899.0,,,-38173.0,,,-347165.0,-6890.0
addentax group corp.,7330,shenzhen city,4,18424084.0,7997482.0,1845077.0,,0.001,26693.0,25867.0,18505582.0,18424084.0,12428415.0,6099656.0,-563052.0,-4223008.0,-3590169.0,-3608174.0,793977.0,-6834228.0,-81498.0
e-qure corp.,5090,new york,4,19428.0,19428.0,19428.0,-61642.0,0.0,345.0,,508001.0,19428.0,508001.0,121048.0,,-184819.0,-216990.0,,,-34898683.0,-488573.0
rite aid corp,5912,camp hill own,1,9351446000.0,3684952000.0,118480000.0,-42422000.0,1.0,55093000.0,780000.0,8747466000.0,9351446000.0,2739483000.0,,,,-13057000.0,,,-5326160000.0,603980000.0
unifirst corp,7200,wilmington,1,2335921000.0,1070147000.0,,60167000.0,,,12466000.0,490722000.0,2335921000.0,238284000.0,-27966000.0,-103222000.0,187523000.0,42016000.0,150894000.0,606663000.0,1778212000.0,1845199000.0
"smart global holdings, inc.",3674,newark,2,1189057000.0,806245000.0,188992000.0,38181000.0,0.03,769000.0,8485000.0,911589000.0,1189057000.0,492218000.0,1295000.0,-68408000.0,105328000.0,-7211000.0,23457000.0,153261000.0,164137000.0,269433000.0
"b2digital, inc.",7997,tampa,4,2913938.0,132857.0,122176.0,,0.0,10815.0,0.0,4447274.0,2913938.0,3021888.0,2843448.0,-715737.0,-2052264.0,-5380270.0,-2798495.0,944999.0,-9197248.0,-1533336.0
landsea homes corp,1531,newport beach,4,109812830.0,70584.0,68986.0,,,,120449.0,55418677.0,109812830.0,4501627.0,-52257462.0,52971974.0,-806931.0,-36635845.0,-2670365.0,,-34626592.0,54394153.0
hestia insight inc.,8742,las vegas,4,18377762.0,18359572.0,488664.0,,0.001,27916.0,0.0,22304.0,18377762.0,11641.0,0.0,0.0,-110101.0,-1763357.0,-66518.0,,17495751.0,18355458.0
wd 40 co,2890,san diego,1,427887000.0,240943000.0,80362000.0,23900000.0,0.001,20000.0,5904000.0,225255000.0,427887000.0,79118000.0,-30615000.0,-10371000.0,63975000.0,21006000.0,76368000.0,68968000.0,432230000.0,202632000.0
key tronic corp,3672,spokane,4,330522000.0,267147000.0,5007000.0,4454000.0,,47060000.0,688000.0,207358000.0,330522000.0,93755000.0,28240000.0,-6963000.0,-16823000.0,3299000.0,2720000.0,35490000.0,73410000.0,123164000.0
key tronic corp,3672,spokane,4,346940000.0,283776000.0,1281000.0,728000.0,,47121000.0,1377000.0,223480000.0,346940000.0,112310000.0,28067000.0,-9655000.0,-17684000.0,867000.0,2576000.0,36622000.0,74277000.0,123460000.0
progress software corp /ma,7372,bedford,1,1239994000.0,470968000.0,357360000.0,259370000.0,0.01,,3507000.0,,1239994000.0,266077000.0,153425000.0,2664000.0,99378000.0,13557000.0,49698000.0,29333000.0,60301000.0,365721000.0
msc industrial direct co inc,5084,melville,1,2424318000.0,1307667000.0,27429000.0,-97782000.0,,,49639000.0,1272440000.0,2424318000.0,768816000.0,-200287000.0,-37598000.0,139360000.0,94434000.0,210555000.0,296200000.0,528766000.0,1144654000.0
cordia corp,4813,purchase,4,4509.0,,217.0,,0.001,13612.0,,41577.0,4509.0,,9050.0,,-11868.0,,-4076.0,,-8286116.0,-37068.0
fifth wall acquisition corp. iii,6770,grand cayman,4,204174.0,,,0.0,,,,,204174.0,204481.0,0.0,,0.0,-25307.0,,,-25307.0,-307.0
"sgoco group, ltd.",3663,new territories hong kong,4,90130000.0,25650000.0,3028000.0,-2133000.0,0.004,405000.0,-309000.0,19503000.0,90130000.0,7447000.0,3431000.0,-27417000.0,21853000.0,-67918000.0,-67342000.0,52141000.0,-65120000.0,70627000.0
social capital hedosophia holdings corp. vi,6770,palo alto,4,1150998999.0,946061.0,140821.0,,,,0.0,145139025.0,1150998999.0,346525.0,-1469.0,,-224019.0,25074005.0,-449355.0,,-49044119.0,5000004.0
"doubledown interactive co., ltd.",7374,seoul,4,829662000.0,121644000.0,84436000.0,,,18924000.0,6691000.0,109461000.0,829662000.0,28150000.0,-76268000.0,-34000.0,22032000.0,19416000.0,25620000.0,356000.0,89124000.0,720201000.0
trident acquisitions corp.,6770,new york,4,63854309.0,220009.0,114036.0,,0.001,8065.0,-49995.0,16140432.0,63854309.0,5246682.0,-425000.0,40250.0,-474001.0,200913.0,-703087.0,,969197.0,5000010.0
friedman industries inc,3310,longview,4,95008809.0,77534635.0,8191001.0,3134735.0,,8334785.0,3797498.0,29668833.0,95008809.0,29072271.0,-701911.0,-4590240.0,8426886.0,11424475.0,15725395.0,15461256.0,45392912.0,65339976.0
"phillips edison & company, inc.",6798,cincinnati,4,4566601000.0,,20258000.0,-69684000.0,0.01,2807000.0,,2557195000.0,4566601000.0,,-123125000.0,4690000.0,48751000.0,103000.0,,,-1023155000.0,1684848000.0
"jubilant flame international, ltd",7371,los angeles,4,18068.0,18068.0,2684.0,,0.001,19548.0,,1154038.0,18068.0,1154038.0,12771.0,,-12528.0,-21528.0,,,-3613751.0,-1135970.0
"mojo organics, inc.",2086,jersey city,4,,608108.0,7354.0,-42879.0,0.001,31279.0,,,608108.0,153910.0,,,-42879.0,81172.0,58307.0,,-23336522.0,454198.0
trilogy metals inc.,1040,vancouver,4,180093000.0,9170000.0,8449000.0,,,180388000.0,,1433000.0,180093000.0,1086000.0,106000.0,,-2785000.0,-3413000.0,,39000.0,-28874000.0,178660000.0
synnex corp,5045,fremont,1,8159898000.0,7239756000.0,1656874000.0,88583000.0,0.001,54000.0,61235000.0,5904230000.0,8159898000.0,4270330000.0,-221960000.0,-7515000.0,304318000.0,93102000.0,289649000.0,154741000.0,987277000.0,2255668000.0
levi strauss & co,2300,san francisco,1,5544661000.0,2970033000.0,1224080000.0,-273064000.0,,402000.0,3147000.0,4110639000.0,5544661000.0,1625234000.0,-453138000.0,-70444000.0,248018000.0,207223000.0,283578000.0,447519000.0,1281407000.0,
chs inc,5150,inver grove heights,4,18600626000.0,8903375000.0,301230000.0,201668000.0,,,-10130000.0,,18600626000.0,7394147000.0,1012006000.0,-177509000.0,-632378000.0,273591000.0,127925000.0,4827076000.0,1760468000.0,8942628000.0
franklin covey co,8741,salt lake city,2,212649000.0,98229000.0,35757000.0,8620000.0,0.05,1353000.0,-9605000.0,138317000.0,212649000.0,104643000.0,-8759000.0,-13566000.0,30852000.0,11816000.0,3788000.0,12114000.0,61784000.0,74332000.0
pricesmart inc,5331,san diego,1,1631955000.0,639214000.0,190687000.0,-105331000.0,0.0001,3000.0,38265000.0,732171000.0,1631955000.0,482996000.0,-88956000.0,-93991000.0,79967000.0,22529000.0,36049000.0,716337000.0,639472000.0,898803000.0
enertopia corp.,1000,kelowna,4,501407.0,432407.0,325156.0,,0.001,518258.0,,,501407.0,420712.0,270648.0,307168.0,-298188.0,-91066.0,-457029.0,,-14443715.0,80695.0
senmiao technology ltd,6199,"chengdu, sichuan",4,22303279.0,10893006.0,4448075.0,3604048.0,0.0001,4978.0,14627.0,19730709.0,22303279.0,16778944.0,10259777.0,-2510862.0,-3936067.0,-10360058.0,-10184543.0,3705739.0,-34064921.0,5856713.0
capstar special purpose acquisition corp.,6770,austin,4,276767253.0,557800.0,491827.0,491827.0,,457.0,,41392640.0,276767253.0,,277353172.0,-276000000.0,-861345.0,-15294860.0,-2426204.0,,-15294860.0,5000009.0
capstar special purpose acquisition corp.,6770,austin,4,277136872.0,998560.0,947909.0,456082.0,,,,27075275.0,277136872.0,,,176006.0,280076.0,14686984.0,-350905.0,,-607876.0,5000010.0
americas technology acquisition corp.,6770,dallas,4,117641662.0,1474955.0,1189162.0,-64040.0,0.0001,365.0,,3021000.0,117641662.0,,,,-64040.0,2341980.0,-125318.0,,1093133.0,5000001.0
humanco acquisition corp.,6770,austin,4,314167820.0,1626729.0,,,,,0.0,41305500.0,314167820.0,110000.0,-5000.0,,-132505.0,277115.0,-229947.0,,-8992841.0,5000010.0
humanco acquisition corp.,6770,austin,4,314327042.0,1819013.0,,,,,0.0,41741837.0,314327042.0,72337.0,314349335.0,-312500000.0,-655743.0,-9269956.0,-97659.0,,-9269956.0,5000005.0
healthcare services acquisition corp,6770,bethesda,4,332478315.0,1160325.0,0.0,,,,21269.0,27923559.0,332478315.0,293159.0,,,-250635.0,11354447.0,,,4998862.0,5000006.0
"wm technology, inc.",7372,irvine,4,254405236.0,202338.0,,,,,,154399523.0,254405236.0,3749523.0,185511.0,14489.0,-412099.0,-78928074.0,-737755.0,,-125950477.0,5000001.0
"solarwindow technologies, inc.",2860,scottsdale,4,14605056.0,13212712.0,7876446.0,-6275077.0,0.001,53197.0,,204352.0,14605056.0,204352.0,719400.0,-5050759.0,-1944605.0,-1806401.0,-6519033.0,1369791.0,-66617745.0,14400704.0
educational development corp,5190,tulsa,2,94649700.0,63743900.0,1756600.0,,0.2,2482000.0,1222500.0,51493000.0,94649700.0,37481500.0,6438000.0,-1617200.0,-4876400.0,3438100.0,,30074900.0,42286300.0,43156700.0
23andme holding co.,3829,sunnyvale,4,452098000.0,313575000.0,,,0.0,0.0,0.0,210366000.0,452098000.0,121619000.0,155335000.0,-6536000.0,-74252000.0,-183619000.0,-185196000.0,60884000.0,-977238000.0,-595619000.0
frontier funds,6221,golden,4,,,,,,,,,,,,,,,,,,
social leverage acquisition corp i,6770,scottsdale,4,346588733.0,1578921.0,680460.0,680460.0,,340.0,,30608398.0,346588733.0,381092.0,346664393.0,-345000000.0,-983933.0,-2531919.0,-225981.0,,-2532426.0,5000005.0
"start scientific, inc.",7373,austin,4,0.0,,0.0,,0.0,4.0,0.0,1460090.0,0.0,1460090.0,58720.0,0.0,-58720.0,-17285.0,-68534.0,,-16859674.0,-1460090.0
nascent biotech inc.,2834,vero beach,4,751435.0,751435.0,3218.0,,0.001,104834.0,,1223940.0,751435.0,1223940.0,985000.0,,-986784.0,-958767.0,-1400368.0,,-18351416.0,-472505.0
worksport ltd,3714,vaughan,4,10209894.0,9811800.0,9311878.0,8204066.0,0.0001,16277.0,,1381888.0,10209894.0,1373616.0,8843188.0,-132256.0,-506867.0,-1223519.0,-1001826.0,209238.0,-14089552.0,8828006.0
